global DFT,global FCI,huz emb FCI,mu emb FCI,global H,huz H emb,mu H emb,global n qubits,huz n qubits,mu n qubits,N active MOs
-73.25993561362252,-72.98105590344478,-72.92854200957136,-72.92305109172315,2110,492,492,14,10,10,3
-74.77341943527088,-74.49921989682841,-74.48454499793692,-74.48455084310291,2110,492,492,14,10,10,3
-75.12205346742682,-74.8510887398715,-74.85261372239893,-74.85261570152335,1086,1079,1079,14,12,12,4
-75.17006832317483,-74.90065800549328,-74.89954037397749,-74.89954263083372,2110,1079,1079,14,12,12,4
-75.13441804814046,-74.86749763088571,-74.86809611444664,-74.86809851706424,2110,1079,1079,14,12,12,4
-75.05738351641465,-74.80753922486936,-74.81977594060417,-74.81977836429112,2110,1079,1079,14,12,12,4
-74.96253535398272,-74.7762632649103,-74.79895210723555,-74.7989544813342,2110,1079,1079,14,12,12,4
-74.89057843785666,-74.77169191094237,-74.80492436324757,-74.80492672069977,2238,1379,1383,14,12,12,4
-74.87398618929593,-74.77171855070355,-74.47074904864463,-74.47082065383923,2342,876,876,14,10,10,3
-74.87211171916465,-74.77171836970743,-74.80520195210164,-74.80520430992904,3210,1779,1775,14,12,12,4
