global DFT,global FCI,huz emb FCI,mu emb FCI,global H,huz H emb,mu H emb,global n qubits,huz n qubits,mu n qubits,N active MOs
-73.25993561362253,-72.9810559034448,-73.00221341274727,-73.00221818747004,2110,1079,1079,14,12,12,4
-74.77341943527094,-74.49921989682841,-74.40599389784539,-74.40599753779352,2110,1079,1079,14,12,12,4
-75.12205346742681,-74.85108873987156,-74.85261372239906,-74.85261570102999,1086,1079,1079,14,12,12,4
-75.17006832317483,-74.90065800549331,-74.89954037397854,-74.89954263087866,2110,1079,1079,14,12,12,4
-75.13441804814045,-74.86749763088571,-74.86809611444657,-74.86809851767592,2110,1079,1079,14,12,12,4
-75.05738351641462,-74.80753922486942,-74.81977594060426,-74.819778364891,2110,1079,1079,14,12,12,4
-74.96253535398269,-74.77626326491023,-74.7989521072361,-74.79895448085439,2110,1079,1079,14,12,12,4
-74.89057873496347,-74.77168723480158,-74.80493431741306,-74.80493667429465,3146,1699,1699,14,12,12,4
-74.8739784439203,-74.77171832770628,-74.80515420273036,-74.80515656035837,3374,1815,1815,14,12,12,4
-74.87238204553857,-74.77171836960547,-74.80503768311127,-74.80504004173058,3046,1795,1795,14,12,12,4
