global DFT,global FCI,huz emb FCI,mu emb FCI,global H,huz H emb,mu H emb,global n qubits,huz n qubits,mu n qubits,N active MOs
-73.25993561362259,-72.98105590344483,-72.98800839092785,-72.98800875568728,2110,1079,1079,14,12,12,4
-74.77341943527091,-74.49921989682841,-74.50854501448136,-74.50854545315401,2110,1079,1079,14,12,12,4
-75.12205346742677,-74.85108873987151,-74.86400202222752,-74.86400248859687,1086,1079,1079,14,12,12,4
-75.17006832317486,-74.90065800549333,-74.9182254205664,-74.91822589695633,2110,1079,1079,14,12,12,4
-75.13441804814046,-74.86749763088578,-74.89091236219933,-74.89091284230747,2110,1079,1079,14,12,12,4
-75.05738351641467,-74.80753922486934,-74.840739011545,-74.84073949454904,2110,1079,1079,14,12,12,4
-74.96253535398287,-74.77626326491021,-74.81690169620332,-74.81690217745658,2110,1079,1079,14,12,12,4
-74.89057863223445,-74.77169190946266,-74.82021298556222,-74.82021346495968,2342,1543,1551,14,12,12,4
-74.8741519927347,-74.77171855133913,-74.82024354670175,-74.8202440276086,2526,1819,1819,14,12,12,4
-74.87238230918325,-74.77171836950205,-74.82027048056823,-74.82027096046792,3054,1795,1795,14,12,12,4
