global DFT,global FCI,huz emb FCI,mu emb FCI,global H,huz H emb,mu H emb,global n qubits,huz n qubits,mu n qubits,N active MOs
-73.25993561362256,-72.98105590344477,-73.00221341274703,-73.00221818754883,2110,1079,1079,14,12,12,4
-74.77341943527091,-74.49921989682849,-74.51966619843768,-74.51966874084846,2110,1079,1079,14,12,12,4
-75.12205346742678,-74.85108873987157,-74.85261372239931,-74.85261570151397,1086,1079,1079,14,12,12,4
-75.17006832317483,-74.90065800549327,-74.9279336598352,-74.92793456037612,2110,1079,1079,14,12,12,4
-75.1344180481405,-74.86749763088572,-74.91122980614149,-74.91123019858819,2110,1079,1079,14,12,12,4
-75.05738351641469,-74.80753922486936,-74.84700662409072,-74.84700673036633,2110,1079,1079,14,12,12,4
-74.96253535398259,-74.77626326491027,-74.75551520791778,-74.75551522297647,2110,1079,1079,14,12,12,4
-74.89057214825424,-74.77169179148366,-74.68392784167817,-74.68392784052634,2602,1119,1191,14,12,12,4
-74.87412304455441,-74.77171855194908,-74.6674022281117,-74.66740222639636,2226,1151,1151,14,12,12,4
-74.8722306345047,-74.77171837007556,-74.66540805926799,-74.66540805786306,3246,1775,1799,14,12,12,4
