global DFT,global FCI,huz emb FCI,mu emb FCI,global H,huz H emb,mu H emb,global n qubits,huz n qubits,mu n qubits,N active MOs
-73.25993561362253,-72.98105590344478,-73.0022134127465,-73.002218187555,2110,1079,1079,14,12,12,4
-74.77341943527097,-74.49921989682849,-74.51966619843876,-74.51966874090783,2110,1079,1079,14,12,12,4
-75.12205346742678,-74.85108873987153,-74.85261372239874,-74.85261570139629,1086,1079,1079,14,12,12,4
-75.17006832317482,-74.90065800549334,-74.92793365983428,-74.9279345603645,2110,1079,1079,14,12,12,4
-75.1344180481405,-74.86749763088574,-74.9112298061408,-74.91123019815186,2110,1079,1079,14,12,12,4
-75.05738351641469,-74.80753922486936,-74.84700662409135,-74.84700673034058,2110,1079,1079,14,12,12,4
-74.96253535398253,-74.7762632649103,-74.75551520791528,-74.75551522314635,2110,1079,1079,14,12,12,4
-74.89057769930405,-74.7716917410533,-74.68392318601897,-74.68392318485017,2494,1205,1363,14,12,12,4
-74.8741518495254,-74.77171854967861,-74.66745836403425,-74.66745836239963,3362,1095,1103,14,12,12,4
-74.8723082264297,-74.77171836905542,-74.66559881108164,-74.6655988094174,3054,1775,1799,14,12,12,4
