global DFT,global FCI,huz emb FCI,mu emb FCI,global H,huz H emb,mu H emb,global n qubits,huz n qubits,mu n qubits,N active MOs
-73.25993561362255,-72.98105590344476,-72.8878215149897,-72.88782730479402,2110,1079,1079,14,12,12,4
-74.77341943527091,-74.49921989682844,-74.47368900867387,-74.47369061198917,2110,1079,1079,14,12,12,4
-75.1220534674268,-74.85108873987153,-74.86400202222796,-74.86400248853792,1086,1079,1079,14,12,12,4
-75.17006832317483,-74.90065800549326,-74.93610057094605,-74.93610071324439,2110,1079,1079,14,12,12,4
-75.1344180481405,-74.86749763088574,-74.91433576206099,-74.91433581939391,2110,1079,1079,14,12,12,4
-75.05738351641467,-74.80753922486936,-74.84732843730198,-74.84732846217166,2110,1079,1079,14,12,12,4
-74.96253535398208,-74.77626326491026,-74.75550564464622,-74.75550564995574,2110,1079,1079,14,12,12,4
-74.89057856604414,-74.77169185111889,-74.68392132763897,-74.68392132632292,2406,1203,1327,14,12,12,4
-74.87612655899203,-74.77171855109722,-74.66942710805927,-74.66942710639364,2598,1083,1119,14,12,12,4
-74.87238111599291,-74.77171836970236,-74.66562628060274,-74.6656262787745,3046,1759,1799,14,12,12,4
